id,name,name_kurz,bwk
"01","Rathaus","RAT",0
"02","Goetheschule","GOE",0
"03","Tagespflege Hinz","TPH",2
"04","Stephanus-Werkstätten","SWE",0
"05","Hyparschale","HYP",1
"06","DRK-Heim","DRK",1
"07","Waldhofkita","WHK",1
"08","Villa","VIL",1
"09","Egelpfuhlschule","EGE",2
"10","Öko-Insel","ÖKO",2
"11","Oberstufenzentrum","OSZ",2
"12","Willy-Gabbert-Schule","WGS",2
"13","Beutel","BEU",3
"14","Densow","DEN",3
"15","Gandenitz","GAN",3
"16","Gollin","GOL",3
"17","Groß Dölln","GDÖ",3
"18","Grunewald","GRU",3
"19","Hammelspring","HAM",3
"20","Herzfelde","HER",3
"21","Hindenburg","HIN",3
"22","Klosterwalde","KLW",3
"23","Petznick","PET",3
"24","Röddelin","RÖD",3
"25","Storkow","STK",3
"26","Vietmannsdorf","VIE",3
"27","Ahrensdorf","AHR",3
"0","0","0",0
"1","1","1",1
"2","2","2",2
"3","3","3",3
